Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,510.100006,520.900024,510.100006,515.299988,507.381714,15111223
2022-02-21,511.549988,517.500000,504.649994,511.850006,503.984772,16866932
2022-02-22,500.899994,505.299988,495.500000,498.399994,490.741425,27108772
2022-02-23,503.000000,505.350006,497.250000,498.700012,491.036835,13899433
2022-02-24,480.000000,487.950012,468.000000,472.649994,465.387115,32356037
2022-02-25,480.000000,491.899994,479.299988,482.950012,475.528839,21792287
2022-02-28,476.899994,485.299988,473.100006,483.200012,475.774994,18069367
2022-03-02,478.000000,479.799988,467.000000,474.250000,466.962524,22003848
2022-03-03,480.000000,483.399994,464.600006,467.399994,460.217773,20358590
2022-03-04,460.299988,470.899994,457.649994,461.950012,454.851532,20684268
2022-03-07,447.500000,453.950012,433.450012,440.299988,433.534210,33720472
2022-03-08,438.000000,442.100006,425.000000,440.299988,433.534210,42510207
2022-03-09,442.000000,454.299988,438.549988,451.700012,444.759033,32331325
2022-03-10,469.899994,476.649994,461.649994,468.700012,461.497833,34553299
2022-03-11,466.399994,474.799988,462.000000,470.350006,463.122467,22091309
2022-03-14,471.000000,486.000000,470.549988,485.149994,477.695038,27750689
2022-03-15,489.000000,490.500000,480.649994,485.850006,478.384277,27204899
2022-03-16,493.000000,494.299988,489.399994,492.750000,485.178253,16211288
2022-03-17,499.000000,503.500000,498.299988,501.899994,494.187653,22947673
2022-03-21,502.000000,502.000000,489.000000,490.600006,483.061279,19064060
2022-03-22,490.600006,495.799988,477.250000,493.700012,486.113647,26157969
2022-03-23,498.500000,502.399994,489.200012,490.649994,483.110504,15800195
2022-03-24,485.000000,494.799988,483.500000,487.100006,479.615082,18174877
2022-03-25,491.750000,493.299988,486.600006,490.700012,483.159760,11541196
2022-03-28,490.950012,498.600006,481.950012,497.500000,489.855255,16738684
2022-03-29,500.000000,501.399994,491.700012,495.000000,487.393677,14301429
2022-03-30,499.299988,500.399994,492.299988,494.299988,486.704407,16461225
2022-03-31,494.299988,497.549988,492.200012,493.549988,485.965942,10240982
2022-04-01,491.000000,509.750000,491.000000,508.200012,500.390839,18527226
2022-04-04,509.299988,514.900024,506.000000,512.400024,504.526337,16257176
2022-04-05,514.400024,516.400024,507.700012,509.399994,501.572388,13602384
2022-04-06,507.000000,515.200012,506.000000,513.950012,506.052490,13738275
2022-04-07,510.049988,519.900024,510.049988,514.950012,507.037140,19620958
2022-04-08,519.500000,519.500000,512.349976,516.099976,508.169434,13572638
2022-04-11,513.500000,522.000000,513.200012,514.900024,506.987915,12370288
2022-04-12,512.750000,516.700012,504.350006,512.849976,504.969360,14460680
2022-04-13,514.299988,520.900024,513.750000,517.700012,509.744873,15440525
2022-04-18,512.000000,515.000000,504.000000,509.500000,501.670868,14492183
2022-04-19,513.250000,520.950012,505.100006,511.799988,503.935516,20362934
2022-04-20,512.000000,513.700012,507.000000,509.299988,501.473938,11881305
2022-04-21,513.400024,518.000000,512.200012,516.299988,508.366364,10035638
2022-04-22,512.900024,513.500000,499.000000,500.600006,492.907623,16760456
2022-04-25,495.000000,499.200012,490.049988,494.750000,487.147522,14057444
2022-04-26,499.000000,507.899994,498.450012,505.500000,497.732330,12137213
2022-04-27,500.000000,502.799988,491.850006,497.250000,489.609100,12367342
2022-04-28,499.149994,510.000000,496.500000,507.500000,499.701599,12154792
2022-04-29,508.100006,512.500000,494.000000,496.299988,488.673676,12894773
2022-05-02,492.649994,495.000000,481.299988,491.000000,483.455139,18590895
2022-05-04,492.000000,496.450012,477.500000,479.649994,472.279541,14645323
2022-05-05,485.000000,494.000000,478.649994,480.000000,472.624176,14130385
2022-05-06,471.000000,486.100006,471.000000,483.950012,476.513489,16710020
2022-05-09,477.100006,483.700012,473.799988,475.899994,468.587158,13544947
2022-05-10,477.000000,482.549988,473.500000,475.200012,467.897949,10884328
2022-05-11,475.250000,479.000000,463.649994,476.549988,469.227173,14771351
2022-05-12,473.000000,473.000000,456.350006,462.649994,455.540771,18947096
2022-05-13,469.450012,477.000000,439.750000,444.649994,437.817352,61403008
2022-05-16,445.000000,461.500000,438.850006,455.000000,448.008331,27940958
2022-05-17,458.299988,469.649994,456.149994,467.299988,460.119324,16880698
2022-05-18,467.899994,468.600006,457.100006,458.000000,450.962219,15644497
2022-05-19,449.049988,450.000000,444.450012,447.500000,440.623566,14201420
2022-05-20,454.850006,464.000000,454.149994,462.399994,455.294617,13596860
2022-05-23,463.100006,471.399994,459.500000,460.899994,453.817657,13499415
2022-05-24,462.399994,466.799988,460.200012,462.049988,454.949982,17175179
2022-05-25,461.000000,464.450012,452.049988,454.100006,454.100006,12728644
2022-05-26,456.850006,470.100006,452.500000,468.899994,468.899994,17055257
2022-05-27,471.399994,475.000000,467.500000,468.950012,468.950012,10977001
2022-05-30,473.000000,476.899994,471.100006,474.600006,474.600006,9365470
2022-05-31,474.000000,476.399994,465.000000,468.100006,468.100006,15441579
2022-06-01,468.000000,472.000000,464.700012,468.299988,468.299988,9424008
2022-06-02,466.899994,472.350006,466.149994,469.850006,469.850006,9370989
2022-06-03,473.250000,475.500000,463.500000,464.500000,464.500000,11306291
2022-06-06,464.200012,465.600006,456.500000,463.700012,463.700012,10661432
2022-06-07,461.850006,465.950012,460.500000,463.399994,463.399994,7672515
2022-06-08,466.600006,475.549988,463.200012,471.299988,471.299988,17168871
2022-06-09,468.950012,470.899994,462.450012,466.950012,466.950012,12635601
2022-06-10,462.000000,464.149994,458.600006,461.850006,461.850006,8621104
2022-06-13,454.000000,454.049988,442.100006,445.850006,445.850006,13426836
2022-06-14,445.000000,449.250000,443.350006,448.100006,448.100006,11351101
2022-06-15,448.950012,455.450012,448.600006,451.350006,451.350006,9920926
2022-06-16,455.149994,457.750000,440.149994,441.600006,441.600006,10780703
2022-06-17,440.000000,447.549988,437.250000,441.000000,441.000000,14326050
2022-06-20,441.500000,443.450012,430.700012,434.700012,434.700012,12368534
2022-06-21,439.500000,454.950012,437.600006,450.750000,450.750000,13801891
2022-06-22,448.750000,451.200012,444.649994,447.649994,447.649994,11066447
2022-06-23,449.000000,456.450012,446.000000,451.399994,451.399994,12229833
2022-06-24,455.799988,460.350006,453.200012,454.250000,454.250000,10833364
2022-06-27,459.950012,464.850006,458.049988,461.200012,461.200012,9509175
2022-06-28,458.899994,465.750000,458.000000,464.250000,464.250000,13261290
2022-06-29,460.000000,462.700012,458.000000,459.100006,459.100006,11800876
2022-06-30,459.000000,469.299988,458.600006,465.899994,465.899994,16926328
2022-07-01,463.350006,468.799988,460.549988,466.850006,466.850006,9405495
2022-07-04,466.850006,474.149994,466.850006,473.450012,473.450012,9186358
2022-07-05,475.149994,480.000000,471.000000,472.149994,472.149994,12003244
2022-07-06,475.149994,481.000000,473.899994,479.950012,479.950012,12059857
2022-07-07,484.000000,488.250000,481.600006,486.750000,486.750000,11497832
2022-07-08,489.000000,489.899994,485.149994,488.549988,488.549988,9057231
2022-07-11,485.000000,491.299988,485.000000,488.200012,488.200012,7704792
2022-07-12,485.000000,491.350006,483.100006,484.950012,484.950012,7364457
2022-07-13,487.750000,492.450012,484.549988,486.500000,486.500000,8208853
2022-07-14,486.600006,488.899994,476.799988,479.350006,479.350006,9385630
2022-07-15,482.549988,484.399994,474.700012,479.100006,479.100006,6945602
2022-07-18,484.549988,491.500000,482.100006,490.299988,490.299988,9934786
2022-07-19,488.000000,498.549988,488.000000,497.950012,497.950012,11724183
2022-07-20,501.000000,510.600006,500.399994,508.600006,508.600006,19280117
2022-07-21,509.799988,513.400024,506.750000,512.049988,512.049988,13814893
2022-07-22,513.450012,520.200012,511.200012,513.700012,513.700012,14699129
2022-07-25,513.400024,519.000000,509.149994,517.799988,517.799988,10229778
2022-07-26,517.700012,520.799988,513.099976,514.200012,514.200012,8862656
2022-07-27,515.299988,529.950012,512.250000,528.200012,528.200012,15101546
2022-07-28,533.200012,537.500000,529.549988,532.450012,532.450012,12160734
2022-07-29,535.049988,537.000000,526.750000,528.349976,528.349976,11921058
2022-08-01,529.049988,535.000000,526.400024,533.750000,533.750000,8295631
2022-08-02,531.900024,544.900024,531.099976,542.099976,542.099976,16845027
2022-08-03,541.900024,546.400024,534.650024,540.849976,540.849976,24262125
2022-08-04,543.650024,544.000000,524.200012,533.250000,533.250000,18072293
2022-08-05,535.549988,542.900024,529.000000,531.049988,531.049988,21110734
2022-08-08,524.000000,524.000000,513.849976,520.400024,520.400024,32566317
2022-08-10,521.549988,523.500000,513.400024,514.700012,514.700012,16904151
2022-08-11,520.000000,526.000000,517.200012,524.750000,524.750000,13862195
2022-08-12,525.700012,531.799988,525.150024,530.700012,530.700012,12154012
2022-08-16,533.299988,533.849976,525.000000,525.950012,525.950012,10721167
2022-08-17,528.849976,530.549988,524.349976,528.150024,528.150024,12054183
2022-08-18,526.849976,534.799988,526.200012,532.349976,532.349976,9013662
2022-08-19,532.000000,533.650024,518.500000,520.349976,520.349976,11087222
2022-08-22,519.000000,519.900024,510.000000,511.299988,511.299988,9676954
2022-08-23,508.250000,524.000000,508.250000,521.900024,521.900024,8597965
2022-08-24,519.000000,523.000000,512.299988,519.299988,519.299988,11930650
2022-08-25,521.950012,528.299988,518.500000,520.400024,520.400024,15473450
2022-08-26,523.799988,529.500000,522.200012,523.799988,523.799988,12855886
2022-08-29,511.299988,517.000000,508.750000,514.849976,514.849976,9421339
2022-08-30,518.200012,532.500000,517.950012,531.250000,531.250000,14835308
2022-09-01,522.250000,540.900024,522.250000,533.299988,533.299988,16670228
2022-09-02,537.000000,537.849976,531.250000,536.700012,536.700012,10017930
2022-09-05,537.000000,540.799988,536.299988,538.900024,538.900024,7819994
2022-09-06,538.000000,542.700012,534.099976,537.799988,537.799988,8657868
2022-09-07,534.400024,537.450012,531.549988,532.849976,532.849976,8445359
2022-09-08,536.000000,546.299988,535.500000,544.650024,544.650024,12240707
2022-09-09,549.650024,557.000000,548.000000,553.349976,553.349976,18587927
2022-09-12,554.900024,558.599976,551.250000,554.900024,554.900024,9677415
2022-09-13,560.000000,560.000000,553.750000,558.000000,558.000000,16707275
2022-09-14,550.000000,574.849976,549.250000,571.750000,571.750000,21632641
2022-09-15,572.549988,578.500000,567.900024,572.150024,572.150024,12749947
2022-09-16,569.099976,574.000000,560.299988,561.799988,561.799988,14739280
2022-09-19,560.700012,574.400024,559.549988,572.250000,572.250000,11194003
2022-09-20,577.950012,577.950012,572.849976,574.049988,574.049988,8484017
2022-09-21,575.000000,577.299988,565.400024,569.700012,569.700012,9392526
2022-09-22,566.750000,574.000000,562.000000,567.299988,567.299988,11869435
2022-09-23,564.799988,568.000000,549.500000,550.599976,550.599976,12563239
2022-09-26,545.799988,549.000000,533.000000,543.299988,543.299988,16158750
2022-09-27,544.549988,550.900024,533.200012,536.500000,536.500000,11066799
2022-09-28,532.900024,539.799988,520.349976,524.849976,524.849976,12233485
2022-09-29,529.000000,535.700012,519.549988,521.750000,521.750000,17310168
2022-09-30,524.000000,536.900024,516.150024,530.599976,530.599976,17466950
2022-10-03,527.599976,531.650024,518.500000,519.750000,519.750000,9351162
2022-10-04,533.000000,535.799988,527.799988,532.700012,532.700012,8745887
2022-10-06,534.599976,541.799988,534.599976,537.299988,537.299988,9507322
2022-10-07,535.500000,535.599976,526.549988,530.200012,530.200012,11065307
2022-10-10,525.700012,533.900024,522.200012,530.750000,530.750000,9649292
2022-10-11,530.750000,533.700012,525.500000,527.400024,527.400024,10825440
2022-10-12,530.000000,535.000000,526.000000,533.799988,533.799988,8522604
2022-10-13,533.000000,533.799988,520.200012,521.450012,521.450012,12972765
2022-10-14,530.200012,534.849976,526.000000,527.200012,527.200012,8545479
2022-10-17,526.400024,544.700012,524.200012,543.650024,543.650024,13485349
2022-10-18,547.099976,563.500000,546.750000,562.450012,562.450012,20440781
2022-10-19,563.000000,563.450012,551.549988,553.400024,553.400024,9540583
2022-10-20,552.000000,556.799988,545.299988,555.400024,555.400024,11225588
2022-10-21,557.250000,565.799988,557.250000,560.849976,560.849976,11767639
2022-10-24,567.000000,572.500000,565.900024,570.500000,570.500000,3692065
2022-10-25,572.500000,586.200012,568.000000,578.549988,578.549988,19899324
2022-10-27,583.950012,585.000000,577.599976,579.650024,579.650024,13613533
2022-10-28,579.950012,582.650024,567.000000,570.750000,570.750000,10043644
2022-10-31,574.950012,577.450012,568.400024,573.799988,573.799988,9894639
2022-11-01,576.349976,585.750000,574.599976,576.900024,576.900024,12069579
2022-11-02,575.900024,578.950012,569.900024,573.849976,573.849976,10241440
2022-11-03,569.000000,587.950012,568.000000,584.900024,584.900024,17557998
2022-11-04,586.000000,596.950012,580.400024,593.950012,593.950012,25759031
2022-11-07,613.000000,622.700012,607.700012,614.150024,614.150024,44265903
2022-11-09,621.000000,621.000000,610.549988,615.549988,615.549988,18939854
2022-11-10,613.099976,615.099976,602.200012,605.750000,605.750000,11618405
2022-11-11,617.250000,619.549988,598.500000,601.299988,601.299988,15525267
2022-11-14,603.950012,603.950012,591.650024,592.549988,592.549988,12957268
2022-11-15,594.299988,602.099976,592.650024,600.849976,600.849976,10286417
2022-11-16,599.950012,603.500000,596.000000,599.750000,599.750000,11555749
2022-11-17,599.099976,602.750000,596.150024,599.049988,599.049988,8167131
2022-11-18,601.000000,605.750000,597.150024,602.700012,602.700012,12933675
2022-11-21,602.099976,602.099976,595.349976,598.099976,598.099976,7412419
2022-11-22,598.150024,600.700012,596.150024,599.099976,599.099976,8048595
2022-11-23,601.549988,609.599976,601.000000,607.650024,607.650024,12435924
2022-11-24,609.750000,611.299988,605.799988,609.349976,609.349976,8960032
2022-11-25,610.549988,613.700012,606.250000,607.400024,607.400024,9994513
2022-11-28,605.599976,610.900024,602.349976,608.599976,608.599976,7934274
2022-11-29,607.099976,611.799988,607.099976,608.549988,608.549988,6942919
2022-11-30,608.500000,611.400024,598.400024,602.450012,602.450012,15606230
2022-12-01,607.849976,609.799988,601.549988,608.099976,608.099976,14209313
2022-12-02,607.500000,609.599976,604.250000,607.549988,607.549988,7533838
2022-12-05,608.500000,618.000000,607.549988,617.299988,617.299988,11585602
2022-12-06,614.750000,619.799988,607.799988,608.950012,608.950012,12996244
2022-12-07,610.849976,612.900024,604.500000,607.049988,607.049988,7613892
2022-12-08,609.750000,613.799988,607.150024,611.650024,611.650024,10020015
2022-12-09,614.400024,618.000000,609.099976,616.500000,616.500000,11202267
2022-12-12,614.799988,618.700012,611.000000,613.049988,613.049988,9285187
2022-12-13,613.500000,617.400024,612.500000,616.750000,616.750000,7455415
2022-12-14,618.500000,626.750000,617.500000,625.500000,625.500000,14010673
2022-12-15,625.549988,629.549988,614.299988,615.950012,615.950012,10622271
2022-12-16,612.000000,615.599976,602.099976,603.349976,603.349976,9435071
2022-12-19,604.000000,609.500000,603.000000,604.450012,604.450012,8322012
2022-12-20,603.000000,606.500000,599.549988,604.450012,604.450012,6753785
2022-12-21,605.900024,609.150024,589.599976,593.400024,593.400024,9217253
2022-12-22,597.000000,599.000000,587.549988,593.400024,593.400024,8740149
2022-12-23,590.000000,590.700012,571.500000,574.000000,574.000000,13047046
2022-12-26,574.000000,601.700012,570.700012,597.099976,597.099976,13201587
2022-12-27,600.400024,603.099976,593.299988,601.900024,601.900024,9638618
2022-12-28,600.900024,607.000000,598.549988,601.049988,601.049988,7988631
2022-12-29,600.000000,618.000000,597.150024,611.799988,611.799988,20130392
2022-12-30,615.250000,620.549988,611.349976,613.700012,613.700012,13052895
2023-01-02,614.950012,619.200012,611.200012,612.200012,612.200012,6726084
2023-01-03,614.500000,616.599976,610.000000,612.400024,612.400024,6818062
2023-01-04,611.849976,614.950012,604.000000,605.200012,605.200012,7011191
2023-01-05,607.000000,611.599976,601.950012,605.099976,605.099976,8241475
2023-01-06,607.400024,607.450012,597.000000,600.650024,600.650024,7972036
2023-01-09,605.000000,609.000000,600.099976,607.700012,607.700012,8878905
2023-01-10,608.450012,609.000000,590.599976,595.150024,595.150024,10619302
